id,Outcome_M1,Outcome_M2,Outcome_M3,Outcome_M4,Outcome_M5,Outcome_M6,Outcome_M7,Outcome_M8,Outcome_M9,Outcome_M10,Outcome_M11,Outcome_M12
488,3979.6,1,1,1,1,1,1,1,1,1,1,1
489,25897,1,1,1,1,1,1,1,1,1,1,1
490,11746,1,1,1,1,1,1,1,1,1,1,1
491,6838.2,1,1,1,1,1,1,1,1,1,1,1
492,4942,1,1,1,1,1,1,1,1,1,1,1
493,4183.8,1,1,1,1,1,1,1,1,1,1,1
494,3455.2,1,1,1,1,1,1,1,1,1,1,1
495,18034,1,1,1,1,1,1,1,1,1,1,1
496,2867,1,1,1,1,1,1,1,1,1,1,1
497,4915.2,1,1,1,1,1,1,1,1,1,1,1
498,46733,1,1,1,1,1,1,1,1,1,1,1
499,4165.2,1,1,1,1,1,1,1,1,1,1,1
500,35039,1,1,1,1,1,1,1,1,1,1,1
501,8569.3,1,1,1,1,1,1,1,1,1,1,1
502,3486.3,1,1,1,1,1,1,1,1,1,1,1
503,3826.3,1,1,1,1,1,1,1,1,1,1,1
504,5639.6,1,1,1,1,1,1,1,1,1,1,1
505,2693.4,1,1,1,1,1,1,1,1,1,1,1
506,38757,1,1,1,1,1,1,1,1,1,1,1
507,28514,1,1,1,1,1,1,1,1,1,1,1
508,14934,1,1,1,1,1,1,1,1,1,1,1
509,2594.3,1,1,1,1,1,1,1,1,1,1,1
510,3527.8,1,1,1,1,1,1,1,1,1,1,1
511,3569.9,1,1,1,1,1,1,1,1,1,1,1
512,2823,1,1,1,1,1,1,1,1,1,1,1
513,11056,1,1,1,1,1,1,1,1,1,1,1
514,9068.3,1,1,1,1,1,1,1,1,1,1,1
515,5616.2,1,1,1,1,1,1,1,1,1,1,1
516,27238,1,1,1,1,1,1,1,1,1,1,1
517,4026.1,1,1,1,1,1,1,1,1,1,1,1
518,12793,1,1,1,1,1,1,1,1,1,1,1
519,2818.8,1,1,1,1,1,1,1,1,1,1,1
